summary_code,summary_desc,diag3_code,diag3_desc,admissions_sum,emergency_sum,emergency_ratio
Z30-Z39,Health services in circumstances related to reproduction,Z38,Liveborn infants according to place of birth,771210.0,4241.0,0.005499150685286757
R10-R19,Symptoms & signs inv. the digestive system & abdomen,R10,Abdominal and pelvic pain,583891.0,423382.0,0.7251045143699766
R00-R09,Symptoms & signs inv. the circulatory/respiratory system,R07,Pain in throat and chest,506544.0,473481.0,0.93472827631953
C50-C50,Malignant neoplasm of breast,C50,Malignant neoplasm of breast,442757.0,7755.0,0.017515251029345667
H25-H28,Disorders of lens (including cataracts),H25,Senile cataract,410176.0,198.0,0.00048271961304415667
U00-U49,Provisional assignment of new diseases of uncertain etiology,U07,Emergency use of U07,405307.0,382518.0,0.9437734852839946
H25-H28,Disorders of lens (including cataracts),H26,Other cataract,360999.0,599.0,0.0016592843747489606
J09-J18,Influenza & pneumonia,J18,"Pneumonia, organism unspecified",313226.0,305851.0,0.976454700439938
R50-R69,General symptoms & signs,R69,Unknown and unspecified causes of morbidity,304728.0,99606.0,0.3268685516263684
N30-N39,Other diseases of the urinary system,N39,Other disorders of urinary system,278048.0,245754.0,0.8838545862584878
D10-D36,Benign neoplasms,D12,"Benign neoplasm of colon, rectum, anus and anal canal",268721.0,710.0,0.0026421455710569698
D50-D53,Nutritional anaemias,D50,Iron deficiency anaemia,267664.0,68696.0,0.25665012851933766
K50-K52,Noninfective enteritis & colitis,K50,Crohn disease [regional enteritis],263913.0,18724.0,0.07094762289087692
K20-K31,"Diseases of oesophagus, stomach & duodenum",K29,Gastritis and duodenitis,251718.0,48521.0,0.19275935769392732
C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",C90,Multiple myeloma and malignant plasma cell neoplasms,242808.0,7805.0,0.03214473987677507
K55-K64,Other diseases of intestines,K57,Diverticular disease of intestine,234687.0,61500.0,0.26205115749913716
K80-K87,"Disorders of gall bladder, biliary tract & pancreas",K80,Cholelithiasis,234214.0,122189.0,0.5216981051516989
C43-C44,Malignant neoplasms of skin,C44,Other malignant neoplasms of skin,224402.0,1371.0,0.006109571215942817
O60-O75,Complications of labour and delivery,O70,Perineal laceration during delivery,220880.0,2326.0,0.010530604853314017
K50-K52,Noninfective enteritis & colitis,K51,Ulcerative colitis,219661.0,17518.0,0.07975016047454941
O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,O36,Maternal care for other known or suspected fetal problems,218910.0,3229.0,0.014750354026768992
M60-M79,Soft tissue disorders,M79,"Other soft tissue disorders, not elsewhere classified",211519.0,167643.0,0.792567097991197
I30-I52,Other forms of heart disease,I48,Atrial fibrillation and flutter,209147.0,130201.0,0.6225334334224254
M40-M54,Dorsopathies,M54,Dorsalgia,202591.0,107598.0,0.5311094767289761
K55-K64,Other diseases of intestines,K63,Other diseases of intestine,195934.0,9514.0,0.04855716720936642
A30-A49,Other bacterial diseases,A41,Other sepsis,194797.0,187244.0,0.9612263022531148
O60-O75,Complications of labour and delivery,O68,Labour and delivery complicated by fetal stress [distress],194697.0,1272.0,0.006533228555139524
E70-E90,Metabolic disorders,E83,Disorders of mineral metabolism,194576.0,30971.0,0.1591717375215854
K90-K93,Other diseases of the digestive system,K92,Other diseases of digestive system,189450.0,100876.0,0.5324676695698073
C30-C39,Malignant neoplasms of respiratory & intrathoracic organs,C34,Malignant neoplasm of bronchus and lung,186793.0,26477.0,0.1417451403425182
I30-I52,Other forms of heart disease,I50,Heart failure,180884.0,160677.0,0.8882875212843591
C15-C26,Malignant neoplasm of digestive organs,C18,Malignant neoplasm of colon,179688.0,15635.0,0.08701193179288545
J40-J47,Chronic lower respiratory diseases,J44,Other chronic obstructive pulmonary disease,176263.0,171959.0,0.9755819428921555
R25-R29,Symptoms & signs inv. the nervous & musculoskeletal sys.,R29,Other symptoms and signs involving the nervous and musculoskeletal systems,173680.0,162739.0,0.9370048364808844
I20-I25,Ischaemic heart diseases,I25,Chronic ischaemic heart disease,163108.0,19544.0,0.11982244892954362
I20-I25,Ischaemic heart diseases,I21,Acute myocardial infarction,160979.0,149738.0,0.9301710160952671
A00-A09,Intestinal infectious diseases,A09,Other gastroenteritis and colitis of infectious and unspecified origin,159705.0,115882.0,0.7256003256003256
K20-K31,"Diseases of oesophagus, stomach & duodenum",K22,Other diseases of oesophagus,157437.0,12323.0,0.07827257887281897
L00-L08,Infections of the skin and subcutaneous tissue,L03,Cellulitis,156522.0,138239.0,0.8831921391242126
K20-K31,"Diseases of oesophagus, stomach & duodenum",K21,Gastro-oesophageal reflux disease,154682.0,42982.0,0.27787331428349776
I60-I69,Cerebrovascular diseases,I63,Cerebral infarction,152014.0,138059.0,0.9081992448063995
H30-H36,Disorders of choroid and retina,H35,Other retinal disorders,151124.0,1213.0,0.00802652126730367
C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites",C78,Secondary malignant neoplasm of respiratory and digestive organs,151093.0,24389.0,0.1614171404366847
K55-K64,Other diseases of intestines,K64,Haemorrhoids and perianal venous thrombosis,150337.0,12086.0,0.08039271769424693
S70-S79,Injuries to the hip & thigh,S72,Fracture of femur,149180.0,139799.0,0.9371162354202976
R50-R69,General symptoms & signs,R51,Headache,142475.0,128227.0,0.8999964906123882
B25-B34,Other viral diseases,B34,Viral infection of unspecified site,138775.0,137029.0,0.9874184831561881
M00-M25,Arthropathies,M25,"Other joint disorders, not elsewhere classified",138092.0,82587.0,0.5980578165281117
J20-J22,Other acute lower respiratory infections,J22,Unspecified acute lower respiratory infection,135960.0,131684.0,0.9685495734039423
K55-K64,Other diseases of intestines,K59,Other functional intestinal disorders,134079.0,97569.0,0.7276978497751325
D60-D64,Aplastic and other anaemias,D64,Other anaemias,133895.0,39875.0,0.29780798386795626
R00-R09,Symptoms & signs inv. the circulatory/respiratory system,R06,Abnormalities of breathing,132559.0,110993.0,0.8373101788637513
R50-R69,General symptoms & signs,R55,Syncope and collapse,130092.0,111535.0,0.8573547950681056
K55-K64,Other diseases of intestines,K62,Other diseases of anus and rectum,127714.0,13484.0,0.10557965454061419
N20-N23,Urolithiasis,N20,Calculus of kidney and ureter,124653.0,43366.0,0.34789375305849035
M00-M25,Arthropathies,M17,Gonarthrosis [arthrosis of knee],121148.0,7052.0,0.058209792980486674
C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",C92,Myeloid leukaemia,119783.0,7634.0,0.06373191521334413
C64-C68,Malignant neoplasms of urinary tract,C67,Malignant neoplasm of bladder,117749.0,6408.0,0.05442084433838079
C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites",C79,Secondary malignant neoplasm of other and unspecified sites,116343.0,27146.0,0.2333273166413106
C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",C91,Lymphoid leukaemia,111596.0,7550.0,0.06765475465070432
