diag3_code,diag3_desc,admissions,emergency_admissions,year,summary_code,summary_desc
A00,Cholera,6.0,3.0,2021-2022,A00-A09,Intestinal infectious diseases
A01,Typhoid and paratyphoid fevers,168.0,130.0,2021-2022,A00-A09,Intestinal infectious diseases
A02,Other salmonella infections,623.0,581.0,2021-2022,A00-A09,Intestinal infectious diseases
A03,Shigellosis,157.0,146.0,2021-2022,A00-A09,Intestinal infectious diseases
A04,Other bacterial intestinal infections,13107.0,9892.0,2021-2022,A00-A09,Intestinal infectious diseases
A05,"Other bacterial foodborne intoxications, not elsewhere classified",410.0,399.0,2021-2022,A00-A09,Intestinal infectious diseases
A06,Amoebiasis,34.0,23.0,2021-2022,A00-A09,Intestinal infectious diseases
A07,Other protozoal intestinal diseases,219.0,157.0,2021-2022,A00-A09,Intestinal infectious diseases
A08,Viral and other specified intestinal infections,22191.0,21860.0,2021-2022,A00-A09,Intestinal infectious diseases
A09,Other gastroenteritis and colitis of infectious and unspecified origin,91688.0,66843.0,2021-2022,A00-A09,Intestinal infectious diseases
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",806.0,500.0,2021-2022,A15-A19,Tuberculosis
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",565.0,367.0,2021-2022,A15-A19,Tuberculosis
A17,Tuberculosis of nervous system,129.0,86.0,2021-2022,A15-A19,Tuberculosis
A18,Tuberculosis of other organs,471.0,295.0,2021-2022,A15-A19,Tuberculosis
A19,Miliary tuberculosis,153.0,118.0,2021-2022,A15-A19,Tuberculosis
A20,Plague,2.0,0.0,2021-2022,A20-A28,Certain zoonotic bacterial diseases
A23,Brucellosis,9.0,8.0,2021-2022,A20-A28,Certain zoonotic bacterial diseases
A24,Glanders and melioidosis,3.0,1.0,2021-2022,A20-A28,Certain zoonotic bacterial diseases
A25,Rat-bite fevers,2.0,2.0,2021-2022,A20-A28,Certain zoonotic bacterial diseases
A26,Erysipeloid,17.0,16.0,2021-2022,A20-A28,Certain zoonotic bacterial diseases
A27,Leptospirosis,58.0,52.0,2021-2022,A20-A28,Certain zoonotic bacterial diseases
A28,"Other zoonotic bacterial diseases, not elsewhere classified",23.0,20.0,2021-2022,A20-A28,Certain zoonotic bacterial diseases
A30,Leprosy [Hansen disease],3.0,0.0,2021-2022,A30-A49,Other bacterial diseases
A31,Infection due to other mycobacteria,495.0,161.0,2021-2022,A30-A49,Other bacterial diseases
A32,Listeriosis,70.0,63.0,2021-2022,A30-A49,Other bacterial diseases
A35,Other tetanus,19.0,15.0,2021-2022,A30-A49,Other bacterial diseases
A36,Diphtheria,8.0,6.0,2021-2022,A30-A49,Other bacterial diseases
A37,Whooping cough,30.0,30.0,2021-2022,A30-A49,Other bacterial diseases
A38,Scarlet fever,464.0,453.0,2021-2022,A30-A49,Other bacterial diseases
A39,Meningococcal infection,284.0,258.0,2021-2022,A30-A49,Other bacterial diseases
A40,Streptococcal sepsis,3239.0,3061.0,2021-2022,A30-A49,Other bacterial diseases
A41,Other sepsis,104226.0,100389.0,2021-2022,A30-A49,Other bacterial diseases
A42,Actinomycosis,126.0,60.0,2021-2022,A30-A49,Other bacterial diseases
A43,Nocardiosis,21.0,16.0,2021-2022,A30-A49,Other bacterial diseases
A44,Bartonellosis,4.0,0.0,2021-2022,A30-A49,Other bacterial diseases
A46,Erysipelas,206.0,192.0,2021-2022,A30-A49,Other bacterial diseases
A48,"Other bacterial diseases, not elsewhere classified",309.0,277.0,2021-2022,A30-A49,Other bacterial diseases
A49,Bacterial infection of unspecified site,5750.0,5082.0,2021-2022,A30-A49,Other bacterial diseases
A50,Congenital syphilis,30.0,5.0,2021-2022,A50-A64,Infections with a predominantly sexual mode of transmission
A51,Early syphilis,33.0,13.0,2021-2022,A50-A64,Infections with a predominantly sexual mode of transmission
A52,Late syphilis,315.0,99.0,2021-2022,A50-A64,Infections with a predominantly sexual mode of transmission
A53,Other and unspecified syphilis,48.0,26.0,2021-2022,A50-A64,Infections with a predominantly sexual mode of transmission
A54,Gonococcal infection,131.0,104.0,2021-2022,A50-A64,Infections with a predominantly sexual mode of transmission
A55,Chlamydial lymphogranuloma (venereum),4.0,3.0,2021-2022,A50-A64,Infections with a predominantly sexual mode of transmission
A56,Other sexually transmitted chlamydial diseases,109.0,100.0,2021-2022,A50-A64,Infections with a predominantly sexual mode of transmission
A59,Trichomoniasis,15.0,14.0,2021-2022,A50-A64,Infections with a predominantly sexual mode of transmission
A60,Anogenital herpesviral [herpes simplex] infection,328.0,301.0,2021-2022,A50-A64,Infections with a predominantly sexual mode of transmission
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",1041.0,47.0,2021-2022,A50-A64,Infections with a predominantly sexual mode of transmission
A64,Unspecified sexually transmitted disease,14.0,13.0,2021-2022,A50-A64,Infections with a predominantly sexual mode of transmission
A66,Yaws,7.0,2.0,2021-2022,A65-A69,Other spirochaetal diseases
A68,Relapsing fevers,16.0,9.0,2021-2022,A65-A69,Other spirochaetal diseases
A69,Other spirochaetal infections,365.0,180.0,2021-2022,A65-A69,Other spirochaetal diseases
A70,Chlamydia psittaci infection,4.0,4.0,2021-2022,A70-A74,Other diseases caused by chlamydiae
A74,Other diseases caused by chlamydiae,43.0,38.0,2021-2022,A70-A74,Other diseases caused by chlamydiae
A75,Typhus fever,3.0,3.0,2021-2022,A75-A79,Rickettsioses
A77,Spotted fever [tick-borne rickettsioses],1.0,1.0,2021-2022,A75-A79,Rickettsioses
A78,Q fever,2.0,2.0,2021-2022,A75-A79,Rickettsioses
A79,Other rickettsioses,2.0,1.0,2021-2022,A75-A79,Rickettsioses
A80,Acute poliomyelitis,3.0,2.0,2021-2022,A80-A89,Viral infections of the central nervous system
A81,Atypical virus infections of central nervous system,139.0,94.0,2021-2022,A80-A89,Viral infections of the central nervous system
A83,Mosquito-borne viral encephalitis,1.0,1.0,2021-2022,A80-A89,Viral infections of the central nervous system
A84,Tick-borne viral encephalitis,2.0,2.0,2021-2022,A80-A89,Viral infections of the central nervous system
A85,"Other viral encephalitis, not elsewhere classified",61.0,40.0,2021-2022,A80-A89,Viral infections of the central nervous system
A86,Unspecified viral encephalitis,474.0,439.0,2021-2022,A80-A89,Viral infections of the central nervous system
A87,Viral meningitis,1533.0,1474.0,2021-2022,A80-A89,Viral infections of the central nervous system
A88,"Other viral infections of central nervous system, not elsewhere classified",42.0,42.0,2021-2022,A80-A89,Viral infections of the central nervous system
A89,Unspecified viral infection of central nervous system,22.0,21.0,2021-2022,A80-A89,Viral infections of the central nervous system
A92,Other mosquito-borne viral fevers,3.0,2.0,2021-2022,A92-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers
A93,"Other arthropod-borne viral fevers, not elsewhere classified",2.0,2.0,2021-2022,A92-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers
A94,Unspecified arthropod-borne viral fever,2.0,1.0,2021-2022,A92-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers
A95,Yellow fever,3.0,3.0,2021-2022,A92-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers
A96,Arenaviral haemorrhagic fever,3.0,3.0,2021-2022,A92-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers
A97,Dengue,51.0,43.0,2021-2022,A92-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers
A98,"Other viral haemorrhagic fevers, not elsewhere classified",1.0,1.0,2021-2022,A92-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers
A99,Unspecified viral haemorrhagic fever,6.0,5.0,2021-2022,A92-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers
B00,Herpesviral [herpes simplex] infections,2703.0,2387.0,2021-2022,B00-B09,Viral infections characterized by skin & mucous mem. lesns.
B01,Varicella [chickenpox],1801.0,1728.0,2021-2022,B00-B09,Viral infections characterized by skin & mucous mem. lesns.
B02,Zoster [herpes zoster],3292.0,2950.0,2021-2022,B00-B09,Viral infections characterized by skin & mucous mem. lesns.
B04,Monkeypox,1.0,1.0,2021-2022,B00-B09,Viral infections characterized by skin & mucous mem. lesns.
B05,Measles,15.0,15.0,2021-2022,B00-B09,Viral infections characterized by skin & mucous mem. lesns.
B06,Rubella [German measles],2.0,2.0,2021-2022,B00-B09,Viral infections characterized by skin & mucous mem. lesns.
B07,Viral warts,2522.0,33.0,2021-2022,B00-B09,Viral infections characterized by skin & mucous mem. lesns.
B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",1484.0,1320.0,2021-2022,B00-B09,Viral infections characterized by skin & mucous mem. lesns.
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,789.0,776.0,2021-2022,B00-B09,Viral infections characterized by skin & mucous mem. lesns.
B15,Acute hepatitis A,156.0,138.0,2021-2022,B15-B19,Viral hepatitis
B16,Acute hepatitis B,117.0,98.0,2021-2022,B15-B19,Viral hepatitis
B17,Other acute viral hepatitis,988.0,811.0,2021-2022,B15-B19,Viral hepatitis
B18,Chronic viral hepatitis,367.0,135.0,2021-2022,B15-B19,Viral hepatitis
B19,Unspecified viral hepatitis,206.0,176.0,2021-2022,B15-B19,Viral hepatitis
B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,494.0,339.0,2021-2022,B20-B24,Human immunodeficiency virus [HIV] disease
B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,426.0,52.0,2021-2022,B20-B24,Human immunodeficiency virus [HIV] disease
B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,70.0,45.0,2021-2022,B20-B24,Human immunodeficiency virus [HIV] disease
B23,Human immunodeficiency virus [HIV] disease resulting in other conditions,245.0,47.0,2021-2022,B20-B24,Human immunodeficiency virus [HIV] disease
B24,Unspecified human immunodeficiency virus [HIV] disease,228.0,160.0,2021-2022,B20-B24,Human immunodeficiency virus [HIV] disease
B25,Cytomegaloviral disease,397.0,235.0,2021-2022,B25-B34,Other viral diseases
B26,Mumps,128.0,120.0,2021-2022,B25-B34,Other viral diseases
B27,Infectious mononucleosis,3548.0,3270.0,2021-2022,B25-B34,Other viral diseases
B30,Viral conjunctivitis,111.0,110.0,2021-2022,B25-B34,Other viral diseases
B33,"Other viral diseases, not elsewhere classified",91.0,78.0,2021-2022,B25-B34,Other viral diseases
B34,Viral infection of unspecified site,94331.0,93164.0,2021-2022,B25-B34,Other viral diseases
B35,Dermatophytosis,514.0,310.0,2021-2022,B35-B49,Mycoses
B36,Other superficial mycoses,199.0,152.0,2021-2022,B35-B49,Mycoses
B37,Candidiasis,5882.0,2161.0,2021-2022,B35-B49,Mycoses
B38,Coccidioidomycosis,3.0,3.0,2021-2022,B35-B49,Mycoses
B39,Histoplasmosis,37.0,6.0,2021-2022,B35-B49,Mycoses
B42,Sporotrichosis,2.0,2.0,2021-2022,B35-B49,Mycoses
B43,Chromomycosis and phaeomycotic abscess,34.0,30.0,2021-2022,B35-B49,Mycoses
B44,Aspergillosis,851.0,316.0,2021-2022,B35-B49,Mycoses
B45,Cryptococcosis,49.0,24.0,2021-2022,B35-B49,Mycoses
B46,Zygomycosis,20.0,9.0,2021-2022,B35-B49,Mycoses
B47,Mycetoma,40.0,3.0,2021-2022,B35-B49,Mycoses
B48,"Other mycoses, not elsewhere classified",6.0,3.0,2021-2022,B35-B49,Mycoses
B49,Unspecified mycosis,491.0,77.0,2021-2022,B35-B49,Mycoses
B50,Plasmodium falciparum malaria,807.0,760.0,2021-2022,B50-B64,Protozoal diseases
B51,Plasmodium vivax malaria,39.0,34.0,2021-2022,B50-B64,Protozoal diseases
B52,Plasmodium malariae malaria,8.0,8.0,2021-2022,B50-B64,Protozoal diseases
B53,Other parasitologically confirmed malaria,41.0,38.0,2021-2022,B50-B64,Protozoal diseases
B54,Unspecified malaria,109.0,102.0,2021-2022,B50-B64,Protozoal diseases
B55,Leishmaniasis,68.0,12.0,2021-2022,B50-B64,Protozoal diseases
B57,Chagas disease,2.0,0.0,2021-2022,B50-B64,Protozoal diseases
B58,Toxoplasmosis,35.0,18.0,2021-2022,B50-B64,Protozoal diseases
B59,Pneumocystosis,371.0,308.0,2021-2022,B50-B64,Protozoal diseases
B60,"Other protozoal diseases, not elsewhere classified",9.0,5.0,2021-2022,B50-B64,Protozoal diseases
B65,Schistosomiasis [bilharziasis],38.0,12.0,2021-2022,B65-B83,Helminthiases
B67,Echinococcosis,104.0,44.0,2021-2022,B65-B83,Helminthiases
B68,Taeniasis,1.0,0.0,2021-2022,B65-B83,Helminthiases
B69,Cysticercosis,2.0,0.0,2021-2022,B65-B83,Helminthiases
B71,Other cestode infections,2.0,2.0,2021-2022,B65-B83,Helminthiases
B74,Filariasis,4.0,1.0,2021-2022,B65-B83,Helminthiases
B76,Hookworm diseases,11.0,6.0,2021-2022,B65-B83,Helminthiases
B77,Ascariasis,5.0,2.0,2021-2022,B65-B83,Helminthiases
B78,Strongyloidiasis,4.0,3.0,2021-2022,B65-B83,Helminthiases
B79,Trichuriasis,4.0,0.0,2021-2022,B65-B83,Helminthiases
B80,Enterobiasis,345.0,138.0,2021-2022,B65-B83,Helminthiases
B81,"Other intestinal helminthiases, not elsewhere classified",1.0,0.0,2021-2022,B65-B83,Helminthiases
B82,Unspecified intestinal parasitism,75.0,8.0,2021-2022,B65-B83,Helminthiases
B83,Other helminthiases,31.0,20.0,2021-2022,B65-B83,Helminthiases
B85,Pediculosis and phthiriasis,10.0,8.0,2021-2022,B85-B89,"Pediculosis, acariasis and other infestations"
B86,Scabies,174.0,159.0,2021-2022,B85-B89,"Pediculosis, acariasis and other infestations"
B87,Myiasis,21.0,19.0,2021-2022,B85-B89,"Pediculosis, acariasis and other infestations"
B88,Other infestations,12.0,6.0,2021-2022,B85-B89,"Pediculosis, acariasis and other infestations"
B89,Unspecified parasitic disease,2.0,2.0,2021-2022,B85-B89,"Pediculosis, acariasis and other infestations"
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,3.0,1.0,2021-2022,B95-B98,"Bacterial, viral and other infectious agents"
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,0.0,0.0,2021-2022,B95-B98,"Bacterial, viral and other infectious agents"
B97,Viral agents as the cause of diseases classified to other chapters,2.0,1.0,2021-2022,B95-B98,"Bacterial, viral and other infectious agents"
B99,Other and unspecified infectious diseases,7835.0,7477.0,2021-2022,B99-B99,Other infectious and parasitic diseases
C00,Malignant neoplasm of lip,452.0,13.0,2021-2022,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C01,Malignant neoplasm of base of tongue,4784.0,441.0,2021-2022,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C02,Malignant neoplasm of other and unspecified parts of tongue,3369.0,338.0,2021-2022,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C03,Malignant neoplasm of gum,721.0,58.0,2021-2022,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C04,Malignant neoplasm of floor of mouth,1045.0,79.0,2021-2022,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C05,Malignant neoplasm of palate,895.0,61.0,2021-2022,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C06,Malignant neoplasm of other and unspecified parts of mouth,1455.0,164.0,2021-2022,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C07,Malignant neoplasm of parotid gland,1082.0,82.0,2021-2022,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C08,Malignant neoplasm of other and unspecified major salivary glands,319.0,31.0,2021-2022,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C09,Malignant neoplasm of tonsil,5812.0,397.0,2021-2022,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C10,Malignant neoplasm of oropharynx,1969.0,288.0,2021-2022,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C11,Malignant neoplasm of nasopharynx,1475.0,157.0,2021-2022,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C12,Malignant neoplasm of piriform sinus,804.0,93.0,2021-2022,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C13,Malignant neoplasm of hypopharynx,961.0,233.0,2021-2022,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",512.0,104.0,2021-2022,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C15,Malignant neoplasm of oesophagus,34765.0,4494.0,2021-2022,C15-C26,Malignant neoplasm of digestive organs
C16,Malignant neoplasm of stomach,22372.0,2701.0,2021-2022,C15-C26,Malignant neoplasm of digestive organs
C17,Malignant neoplasm of small intestine,4697.0,669.0,2021-2022,C15-C26,Malignant neoplasm of digestive organs
C18,Malignant neoplasm of colon,99164.0,8024.0,2021-2022,C15-C26,Malignant neoplasm of digestive organs
C19,Malignant neoplasm of rectosigmoid junction,14992.0,1157.0,2021-2022,C15-C26,Malignant neoplasm of digestive organs
C20,Malignant neoplasm of rectum,47933.0,2541.0,2021-2022,C15-C26,Malignant neoplasm of digestive organs
C21,Malignant neoplasm of anus and anal canal,4405.0,516.0,2021-2022,C15-C26,Malignant neoplasm of digestive organs
C22,Malignant neoplasm of liver and intrahepatic bile ducts,15942.0,3229.0,2021-2022,C15-C26,Malignant neoplasm of digestive organs
C23,Malignant neoplasm of gallbladder,2365.0,456.0,2021-2022,C15-C26,Malignant neoplasm of digestive organs
C24,Malignant neoplasm of other and unspecified parts of biliary tract,4167.0,496.0,2021-2022,C15-C26,Malignant neoplasm of digestive organs
C25,Malignant neoplasm of pancreas,36388.0,5530.0,2021-2022,C15-C26,Malignant neoplasm of digestive organs
C26,Malignant neoplasm of other and ill-defined digestive organs,761.0,187.0,2021-2022,C15-C26,Malignant neoplasm of digestive organs
C30,Malignant neoplasm of nasal cavity and middle ear,726.0,58.0,2021-2022,C30-C39,Malignant neoplasms of respiratory & intrathoracic organs
C31,Malignant neoplasm of accessory sinuses,822.0,99.0,2021-2022,C30-C39,Malignant neoplasms of respiratory & intrathoracic organs
C32,Malignant neoplasm of larynx,4355.0,715.0,2021-2022,C30-C39,Malignant neoplasms of respiratory & intrathoracic organs
C33,Malignant neoplasm of trachea,138.0,24.0,2021-2022,C30-C39,Malignant neoplasms of respiratory & intrathoracic organs
C34,Malignant neoplasm of bronchus and lung,99551.0,13515.0,2021-2022,C30-C39,Malignant neoplasms of respiratory & intrathoracic organs
C37,Malignant neoplasm of thymus,622.0,56.0,2021-2022,C30-C39,Malignant neoplasms of respiratory & intrathoracic organs
C38,"Malignant neoplasm of heart, mediastinum and pleura",944.0,125.0,2021-2022,C30-C39,Malignant neoplasms of respiratory & intrathoracic organs
C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,24.0,3.0,2021-2022,C30-C39,Malignant neoplasms of respiratory & intrathoracic organs
C40,Malignant neoplasm of bone and articular cartilage of limbs,3561.0,241.0,2021-2022,C40-C41,Malignant neoplasm of bone and articular cartilage
C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,3782.0,399.0,2021-2022,C40-C41,Malignant neoplasm of bone and articular cartilage
C43,Malignant melanoma of skin,25186.0,828.0,2021-2022,C43-C44,Malignant neoplasms of skin
C44,Other malignant neoplasms of skin,122185.0,764.0,2021-2022,C43-C44,Malignant neoplasms of skin
C45,Mesothelioma,9026.0,1116.0,2021-2022,C45-C49,Malignant neoplasms of mesothelial and soft tissue
C46,Kaposi sarcoma,171.0,8.0,2021-2022,C45-C49,Malignant neoplasms of mesothelial and soft tissue
C47,Malignant neoplasm of peripheral nerves and autonomic nervous system,516.0,38.0,2021-2022,C45-C49,Malignant neoplasms of mesothelial and soft tissue
C48,Malignant neoplasm of retroperitoneum and peritoneum,4979.0,490.0,2021-2022,C45-C49,Malignant neoplasms of mesothelial and soft tissue
C49,Malignant neoplasm of other connective and soft tissue,8778.0,699.0,2021-2022,C45-C49,Malignant neoplasms of mesothelial and soft tissue
C50,Malignant neoplasm of breast,240790.0,4166.0,2021-2022,C50-C50,Malignant neoplasm of breast
C51,Malignant neoplasm of vulva,2679.0,235.0,2021-2022,C51-C58,Malignant neoplasms of female genital organs
C52,Malignant neoplasm of vagina,958.0,84.0,2021-2022,C51-C58,Malignant neoplasms of female genital organs
C53,Malignant neoplasm of cervix uteri,8825.0,754.0,2021-2022,C51-C58,Malignant neoplasms of female genital organs
C54,Malignant neoplasm of corpus uteri,17814.0,969.0,2021-2022,C51-C58,Malignant neoplasms of female genital organs
C55,"Malignant neoplasm of uterus, part unspecified",1765.0,178.0,2021-2022,C51-C58,Malignant neoplasms of female genital organs
C56,Malignant neoplasm of ovary,33860.0,2638.0,2021-2022,C51-C58,Malignant neoplasms of female genital organs
C57,Malignant neoplasm of other and unspecified female genital organs,5394.0,295.0,2021-2022,C51-C58,Malignant neoplasms of female genital organs
C58,Malignant neoplasm of placenta,319.0,28.0,2021-2022,C51-C58,Malignant neoplasms of female genital organs
C60,Malignant neoplasm of penis,1306.0,95.0,2021-2022,C60-C63,Malignant neoplasms of male genital organs
C61,Malignant neoplasm of prostate,73256.0,4576.0,2021-2022,C60-C63,Malignant neoplasms of male genital organs
