summary_code,summary_desc,admissions,emergency_admissions,year
A00-A09,Intestinal infectious diseases,88870.0,67675.0,2020-2021
A15-A19,Tuberculosis,1700.0,1181.0,2020-2021
A20-A28,Certain zoonotic bacterial diseases,115.0,103.0,2020-2021
A30-A49,Other bacterial diseases,99875.0,94976.0,2020-2021
A50-A64,Infections with a predominantly sexual mode of transmission,1586.0,569.0,2020-2021
A65-A69,Other spirochaetal diseases,352.0,166.0,2020-2021
A70-A74,Other diseases caused by chlamydiae,35.0,31.0,2020-2021
A75-A79,Rickettsioses,5.0,5.0,2020-2021
A80-A89,Viral infections of the central nervous system,1474.0,1347.0,2020-2021
A92-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers,9.0,9.0,2020-2021
B00-B09,Viral infections characterized by skin & mucous mem. lesns.,8283.0,6018.0,2020-2021
B15-B19,Viral hepatitis,1503.0,1125.0,2020-2021
B20-B24,Human immunodeficiency virus [HIV] disease,1257.0,588.0,2020-2021
B25-B34,Other viral diseases,46898.0,45958.0,2020-2021
B35-B49,Mycoses,5982.0,2678.0,2020-2021
B50-B64,Protozoal diseases,808.0,571.0,2020-2021
B65-B83,Helminthiases,532.0,239.0,2020-2021
B85-B89,"Pediculosis, acariasis and other infestations",209.0,192.0,2020-2021
B95-B98,"Bacterial, viral and other infectious agents",7.0,5.0,2020-2021
B99-B99,Other infectious and parasitic diseases,5044.0,4866.0,2020-2021
C00-C14,Malignant neoplasm of lip-oral cavity and pharynx,21929.0,2303.0,2020-2021
C15-C26,Malignant neoplasm of digestive organs,239709.0,27797.0,2020-2021
C30-C39,Malignant neoplasms of respiratory & intrathoracic organs,93754.0,13935.0,2020-2021
C40-C41,Malignant neoplasm of bone and articular cartilage,7575.0,616.0,2020-2021
C43-C44,Malignant neoplasms of skin,123000.0,1387.0,2020-2021
C45-C49,Malignant neoplasms of mesothelial and soft tissue,19981.0,2353.0,2020-2021
C50-C50,Malignant neoplasm of breast,201967.0,3589.0,2020-2021
‡ C51-C58,Malignant neoplasms of female genital organs,62581.0,4814.0,2020-2021
‡ C60-C63,Malignant neoplasms of male genital organs,62130.0,4663.0,2020-2021
C64-C68,Malignant neoplasms of urinary tract,75239.0,5493.0,2020-2021
C69-C72,"Malignant neoplasms of eye, brain & other parts of CNS",20232.0,4390.0,2020-2021
C73-C75,Malignant neoplasms of thyroid and other endocrine glands,8800.0,515.0,2020-2021
C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites",151147.0,28939.0,2020-2021
C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",333124.0,18676.0,2020-2021
C97-C97,Malignant neoplasms of independent (primary) multiple sites,18576.0,630.0,2020-2021
D00-D09,In situ neoplasms,22889.0,167.0,2020-2021
D10-D36,Benign neoplasms,193355.0,8460.0,2020-2021
D37-D48,Neoplasms of uncertain or unknown behaviour,99716.0,6587.0,2020-2021
D50-D53,Nutritional anaemias,114947.0,31419.0,2020-2021
D55-D59,Haemolytic anaemias,46731.0,10348.0,2020-2021
D60-D64,Aplastic and other anaemias,85014.0,23782.0,2020-2021
D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",23878.0,6103.0,2020-2021
D70-D77,Other diseases of blood and blood-forming organs,21662.0,4965.0,2020-2021
D80-D89,Certain disorders involving the immune mechanism,26011.0,1067.0,2020-2021
E00-E07,Disorders of thyroid gland,12348.0,3898.0,2020-2021
E10-E14,Diabetes Mellitus,54811.0,49071.0,2020-2021
E15-E16,Other disorders of glucose regulation and pancreatic internal secretion,13044.0,11834.0,2020-2021
E20-E35,Disorders of other endocrine glands,22807.0,4988.0,2020-2021
E40-E46,Malnutrition,792.0,644.0,2020-2021
E50-E64,Other nutritional deficiencies,6525.0,1569.0,2020-2021
E65-E68,Obesity and other hyperalimentation,4095.0,518.0,2020-2021
E70-E90,Metabolic disorders,157934.0,69241.0,2020-2021
F00-F09,"Organic, including symptomatic, mental disorders",36833.0,32769.0,2020-2021
F10-F19,Mental and behavioural disorders due to psychoactive subst.,47277.0,45721.0,2020-2021
F20-F29,"Schizophrenia, schizotypal and delusional disorders",18487.0,14618.0,2020-2021
F30-F39,Mood [affective] disorders,16209.0,13307.0,2020-2021
F40-F48,"Neurotic, stress-related and somatoform disorders",19198.0,17266.0,2020-2021
F50-F59,Behavioural syndromes associated with physiological disturbances and physical factors,5200.0,3977.0,2020-2021
F60-F69,Disorders of adult personality and behaviour,7196.0,5287.0,2020-2021
F70-F79,Mental retardation,278.0,182.0,2020-2021
F80-F89,Disorders of psychological development,1847.0,690.0,2020-2021
F90-F98,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,1465.0,1189.0,2020-2021
F99-F99,Unspecified mental disorder,618.0,527.0,2020-2021
G00-G09,Inflammatory diseases of the central nervous system,5413.0,3821.0,2020-2021
G10-G14,Systemic atrophies primarily affecting the central nervous system,4050.0,1025.0,2020-2021
G20-G26,Extrapyramidal & movement disorders (incl. Parkinsonism).,11097.0,5947.0,2020-2021
G30-G32,Other degenerative diseases (incl. Alzheimer).,5778.0,4966.0,2020-2021
G35-G37,Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,47870.0,2615.0,2020-2021
G40-G47,Episodic and paroxysmal disorders,106085.0,80144.0,2020-2021
G50-G59,"Nerve, nerve root and plexus disorders",41292.0,7575.0,2020-2021
G60-G64,Polyneuropathies and other disorders of the peripheral nervous system,27645.0,2437.0,2020-2021
G70-G73,Diseases of myoneural junction and muscle,6696.0,1266.0,2020-2021
G80-G83,Cerebral palsy & other paralytic syndromes,10356.0,3913.0,2020-2021
G90-G99,Other diseases & disorders of the nervous syst.,20304.0,12052.0,2020-2021
H00-H06,"Disorders of eyelid, lacrimal system and orbit",25824.0,3702.0,2020-2021
H10-H13,Disorders of conjunctiva (including conjunctivitis),2870.0,987.0,2020-2021
H15-H22,"Disorders of sclera, cornea, iris and ciliary body",9283.0,1277.0,2020-2021
H25-H28,Disorders of lens (including cataracts),259428.0,414.0,2020-2021
H30-H36,Disorders of choroid and retina,111074.0,5802.0,2020-2021
H40-H42,Glaucoma,17087.0,797.0,2020-2021
H43-H45,Disorders of vitreous body and globe,5041.0,939.0,2020-2021
H46-H48,Disorders of optic nerve and visual pathways,3260.0,2149.0,2020-2021
H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",6798.0,1473.0,2020-2021
H53-H54,Visual disturbances and blindness,6791.0,5801.0,2020-2021
H55-H59,Other disorders of eye and adnexa,4887.0,1660.0,2020-2021
H60-H62,Diseases of external ear,8481.0,6278.0,2020-2021
H65-H75,Diseases of middle ear and mastoid,14260.0,4081.0,2020-2021
H80-H83,Diseases of inner ear,10959.0,10201.0,2020-2021
H90-H95,Other disorders of ear,5448.0,2200.0,2020-2021
I00-I02,Acute rheumatic fever,54.0,33.0,2020-2021
I05-I09,Chronic rheumatic heart diseases,8085.0,1813.0,2020-2021
I10-I15,Hypertensive diseases,26445.0,23990.0,2020-2021
I20-I25,Ischaemic heart diseases,205029.0,129085.0,2020-2021
I26-I28,Pulmonary heart disease & diseases of pulmonary circulation,39462.0,34607.0,2020-2021
I30-I52,Other forms of heart disease,270430.0,185716.0,2020-2021
I60-I69,Cerebrovascular diseases,110123.0,94710.0,2020-2021
I70-I79,"Diseases of arteries, arterioles & capillaries",48595.0,21243.0,2020-2021
I80-I89,Diseases of veins & lymphatic system nec.,88321.0,64421.0,2020-2021
I95-I99,Other & unspecified disorders of the circulatory system,3427.0,1192.0,2020-2021
J00-J06,Acute upper respiratory infections,50735.0,42419.0,2020-2021
J09-J18,Influenza & pneumonia,140802.0,137083.0,2020-2021
